Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,mapki_sensitivity,mapki_treatment,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR1768841,RNA-Seq,200,8211688600,PRJNA273359,SAMN03290894,3886321933,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849791,GSM1588861,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588861,tumor biopsy,SRP052740
SRR1768844,RNA-Seq,200,6318823800,PRJNA273359,SAMN03290910,2785692448,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849793,GSM1588863,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588863,tumor biopsy,SRP052740
SRR1768846,RNA-Seq,200,6768592600,PRJNA273359,SAMN03290922,2966790696,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849794,GSM1588864,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588864,tumor biopsy,SRP052740
SRR1768847,RNA-Seq,200,6528508600,PRJNA273359,SAMN03290922,2831855113,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849794,GSM1588864,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588864,tumor biopsy,SRP052740
SRR1768849,RNA-Seq,200,7351564200,PRJNA273359,SAMN03290915,3222822353,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849795,GSM1588865,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588865,tumor biopsy,SRP052740
SRR1768852,RNA-Seq,200,3994005400,PRJNA273359,SAMN03290906,1895898444,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849797,GSM1588867,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588867,tumor biopsy,SRP052740
SRR1768855,RNA-Seq,200,3102673400,PRJNA273359,SAMN03290921,1481160414,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849798,GSM1588868,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588868,tumor biopsy,SRP052740
SRR1768856,RNA-Seq,200,2992727600,PRJNA273359,SAMN03290921,1435282254,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849798,GSM1588868,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588868,tumor biopsy,SRP052740
SRR1768858,RNA-Seq,200,2591047800,PRJNA273359,SAMN03290885,1237162041,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849799,GSM1588869,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588869,tumor biopsy,SRP052740
SRR1768860,RNA-Seq,200,3202715000,PRJNA273359,SAMN03290885,1556148449,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849799,GSM1588869,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588869,tumor biopsy,SRP052740
SRR1768862,RNA-Seq,200,12551479000,PRJNA273359,SAMN03290895,5895107127,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849800,GSM1588870,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588870,tumor biopsy,SRP052740
SRR1768863,RNA-Seq,200,8784984200,PRJNA273359,SAMN03290900,4095776860,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849801,GSM1588871,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588871,tumor biopsy,SRP052740
SRR1768865,RNA-Seq,200,7780708400,PRJNA273359,SAMN03290903,3630513237,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849802,GSM1588872,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588872,tumor biopsy,SRP052740
SRR1768867,RNA-Seq,200,7084087600,PRJNA273359,SAMN03290891,3301970756,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849803,GSM1588873,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588873,tumor biopsy,SRP052740
SRR1768869,RNA-Seq,200,7110925600,PRJNA273359,SAMN03290896,3282113945,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849804,GSM1588874,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588874,tumor biopsy,SRP052740
SRR1768871,RNA-Seq,200,6661855800,PRJNA273359,SAMN03290912,3083453033,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849805,GSM1588875,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588875,tumor biopsy,SRP052740
SRR1768874,RNA-Seq,200,7805845600,PRJNA273359,SAMN03290918,3600430854,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849806,GSM1588876,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588876,tumor biopsy,SRP052740
SRR1768877,RNA-Seq,200,3921667000,PRJNA273359,SAMN03290907,1810795288,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849808,GSM1588878,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588878,tumor biopsy,SRP052740
SRR1768878,RNA-Seq,200,3845398200,PRJNA273359,SAMN03290907,1782251798,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849808,GSM1588878,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588878,tumor biopsy,SRP052740
SRR1768880,RNA-Seq,200,7754588800,PRJNA273359,SAMN03290892,3570708271,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849809,GSM1588879,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588879,tumor biopsy,SRP052740
SRR1768881,RNA-Seq,200,5661009800,PRJNA273359,SAMN03290905,2628158981,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849810,GSM1588880,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588880,tumor biopsy,SRP052740
SRR1768883,RNA-Seq,200,6996314600,PRJNA273359,SAMN03290901,3217803633,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849811,GSM1588881,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588881,tumor biopsy,SRP052740
SRR1768885,RNA-Seq,200,4610123800,PRJNA273359,SAMN03290902,2139935506,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849812,GSM1588882,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588882,tumor biopsy,SRP052740
SRR1768887,RNA-Seq,200,5757708200,PRJNA273359,SAMN03290919,2667919578,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849813,GSM1588883,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588883,tumor biopsy,SRP052740
SRR1768888,RNA-Seq,200,5638728200,PRJNA273359,SAMN03290919,2622767034,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849813,GSM1588883,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588883,tumor biopsy,SRP052740
SRR1768889,RNA-Seq,200,3714186800,PRJNA273359,SAMN03290904,1712876634,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849778,GSM1588884,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588884,tumor biopsy,SRP052740
SRR1768891,RNA-Seq,200,6454585600,PRJNA273359,SAMN03290897,2996055874,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849779,GSM1588885,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588885,tumor biopsy,SRP052740
SRR1768894,RNA-Seq,200,3958996400,PRJNA273359,SAMN03290887,1844281378,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849780,GSM1588886,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588886,tumor biopsy,SRP052740
SRR1768896,RNA-Seq,200,5181958000,PRJNA273359,SAMN03290914,2408016340,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849781,GSM1588887,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588887,tumor biopsy,SRP052740
SRR1768898,RNA-Seq,200,6829050200,PRJNA273359,SAMN03290917,3181300418,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849814,GSM1588888,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588888,tumor biopsy,SRP052740
SRR1768900,RNA-Seq,200,8796568400,PRJNA273359,SAMN03290886,3964107319,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849815,GSM1588889,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588889,tumor biopsy,SRP052740
SRR1768901,RNA-Seq,200,3779929600,PRJNA273359,SAMN03290924,1779694482,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849816,GSM1588890,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588890,tumor biopsy,SRP052740
SRR1768903,RNA-Seq,200,3476794000,PRJNA273359,SAMN03290924,1664275454,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849816,GSM1588890,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588890,tumor biopsy,SRP052740
SRR1768904,RNA-Seq,200,4030234000,PRJNA273359,SAMN03290939,1901978173,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849817,GSM1588891,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588891,tumor biopsy,SRP052740
SRR1768906,RNA-Seq,200,3814425400,PRJNA273359,SAMN03290939,1827348353,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849817,GSM1588891,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588891,tumor biopsy,SRP052740
SRR1768907,RNA-Seq,200,4291346000,PRJNA273359,SAMN03290949,2015178467,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849818,GSM1588892,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588892,tumor biopsy,SRP052740
SRR1768908,RNA-Seq,200,4100683200,PRJNA273359,SAMN03290949,1907238763,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849818,GSM1588892,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588892,tumor biopsy,SRP052740
SRR1768909,RNA-Seq,200,4166499400,PRJNA273359,SAMN03290949,1991723871,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849818,GSM1588892,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588892,tumor biopsy,SRP052740
SRR1768910,RNA-Seq,200,4315901200,PRJNA273359,SAMN03290947,2029922515,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849819,GSM1588893,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588893,tumor biopsy,SRP052740
SRR1768911,RNA-Seq,200,4118618600,PRJNA273359,SAMN03290947,1919086576,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849819,GSM1588893,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588893,tumor biopsy,SRP052740
SRR1768912,RNA-Seq,200,4399396200,PRJNA273359,SAMN03290947,2099652904,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849819,GSM1588893,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588893,tumor biopsy,SRP052740
SRR1768913,RNA-Seq,200,4720991800,PRJNA273359,SAMN03290930,2219407173,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849820,GSM1588894,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588894,tumor biopsy,SRP052740
SRR1768914,RNA-Seq,200,4541692600,PRJNA273359,SAMN03290930,2115673100,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849820,GSM1588894,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588894,tumor biopsy,SRP052740
SRR1768915,RNA-Seq,200,4361663200,PRJNA273359,SAMN03290930,2080318355,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849820,GSM1588894,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588894,tumor biopsy,SRP052740
SRR1768916,RNA-Seq,200,5420493800,PRJNA273359,SAMN03290943,3705535788,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849821,GSM1588895,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588895,tumor biopsy,SRP052740
SRR1768917,RNA-Seq,200,5764915400,PRJNA273359,SAMN03290928,3855335042,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849822,GSM1588896,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi+MEKi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588896,tumor biopsy,SRP052740
SRR1768918,RNA-Seq,200,5756633800,PRJNA273359,SAMN03290950,2629356590,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849823,GSM1588897,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588897,tumor biopsy,SRP052740
SRR1768920,RNA-Seq,200,5537166000,PRJNA273359,SAMN03290937,2539335543,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849824,GSM1588898,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi+MEKi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588898,tumor biopsy,SRP052740
SRR1768922,RNA-Seq,200,3400375200,PRJNA273359,SAMN03290935,1532124016,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849825,GSM1588899,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi+MEKi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588899,tumor biopsy,SRP052740
SRR1768924,RNA-Seq,200,5126941400,PRJNA273359,SAMN03290942,2383079021,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849826,GSM1588900,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588900,tumor biopsy,SRP052740
SRR1768927,RNA-Seq,200,5909476600,PRJNA273359,SAMN03290934,2745834855,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849827,GSM1588901,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi+MEKi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588901,tumor biopsy,SRP052740
SRR1768929,RNA-Seq,200,4096072400,PRJNA273359,SAMN03290946,1908576202,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849828,GSM1588902,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588902,tumor biopsy,SRP052740
SRR1768932,RNA-Seq,200,4778693000,PRJNA273359,SAMN03290940,2316388384,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849829,GSM1588903,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi+MEKi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588903,tumor biopsy,SRP052740
SRR1768933,RNA-Seq,200,3690887400,PRJNA273359,SAMN03290927,1759652227,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849830,GSM1588904,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi+MEKi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588904,tumor biopsy,SRP052740
SRR1768937,RNA-Seq,200,3652136600,PRJNA273359,SAMN03290931,1747734890,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849831,GSM1588905,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588905,tumor biopsy,SRP052740
SRR1768939,RNA-Seq,200,6663049000,PRJNA273359,SAMN03290923,3079297520,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849832,GSM1588906,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,sensitive,none,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588906,tumor biopsy,SRP052740
SRR1768941,RNA-Seq,200,7669430600,PRJNA273359,SAMN03290933,3553068427,melanoma,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX849833,GSM1588907,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,resistant,BRAFi+MEKi,Homo sapiens,ILLUMINA,2015-09-15T00:00:00Z,GSM1588907,tumor biopsy,SRP052740
