study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJNA303170	SAMN04287684	SRS1174582	SRX1446806	SRR2954266	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/006/SRR2954266/SRR2954266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/006/SRR2954266/SRR2954266_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/006/SRR2954266/SRR2954266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/006/SRR2954266/SRR2954266_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/006/SRR2954266	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/006/SRR2954266		
PRJNA303170	SAMN04287685	SRS1174581	SRX1446807	SRR2954267	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/007/SRR2954267/SRR2954267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/007/SRR2954267/SRR2954267_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/007/SRR2954267/SRR2954267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/007/SRR2954267/SRR2954267_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/007/SRR2954267	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/007/SRR2954267		
PRJNA303170	SAMN04287686	SRS1174580	SRX1446808	SRR2954268	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/008/SRR2954268/SRR2954268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/008/SRR2954268/SRR2954268_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/008/SRR2954268/SRR2954268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/008/SRR2954268/SRR2954268_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/008/SRR2954268	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/008/SRR2954268		
PRJNA303170	SAMN04287687	SRS1174579	SRX1446809	SRR2954269	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/009/SRR2954269/SRR2954269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/009/SRR2954269/SRR2954269_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/009/SRR2954269/SRR2954269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/009/SRR2954269/SRR2954269_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/009/SRR2954269	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/009/SRR2954269		
PRJNA303170	SAMN04287688	SRS1174578	SRX1446810	SRR2954270	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/000/SRR2954270/SRR2954270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/000/SRR2954270/SRR2954270_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/000/SRR2954270/SRR2954270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/000/SRR2954270/SRR2954270_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/000/SRR2954270	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/000/SRR2954270		
PRJNA303170	SAMN04287689	SRS1174577	SRX1446811	SRR2954271	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/001/SRR2954271/SRR2954271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/001/SRR2954271/SRR2954271_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/001/SRR2954271/SRR2954271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/001/SRR2954271/SRR2954271_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/001/SRR2954271	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/001/SRR2954271		
PRJNA303170	SAMN04287690	SRS1174576	SRX1446812	SRR2954272	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/002/SRR2954272/SRR2954272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/002/SRR2954272/SRR2954272_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/002/SRR2954272/SRR2954272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/002/SRR2954272/SRR2954272_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/002/SRR2954272	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/002/SRR2954272		
PRJNA303170	SAMN04287691	SRS1174575	SRX1446813	SRR2954273	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/003/SRR2954273/SRR2954273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/003/SRR2954273/SRR2954273_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/003/SRR2954273/SRR2954273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/003/SRR2954273/SRR2954273_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/003/SRR2954273	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/003/SRR2954273		
PRJNA303170	SAMN04287692	SRS1174574	SRX1446814	SRR2954274	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/004/SRR2954274/SRR2954274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/004/SRR2954274/SRR2954274_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/004/SRR2954274/SRR2954274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/004/SRR2954274/SRR2954274_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/004/SRR2954274	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/004/SRR2954274		
PRJNA303170	SAMN04287693	SRS1174573	SRX1446815	SRR2954275	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/005/SRR2954275/SRR2954275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/005/SRR2954275/SRR2954275_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/005/SRR2954275/SRR2954275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/005/SRR2954275/SRR2954275_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/005/SRR2954275	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/005/SRR2954275		
PRJNA303170	SAMN04287694	SRS1174572	SRX1446816	SRR2954276	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/006/SRR2954276/SRR2954276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/006/SRR2954276/SRR2954276_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/006/SRR2954276/SRR2954276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/006/SRR2954276/SRR2954276_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/006/SRR2954276	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/006/SRR2954276		
PRJNA303170	SAMN04287695	SRS1174571	SRX1446817	SRR2954277	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/007/SRR2954277/SRR2954277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/007/SRR2954277/SRR2954277_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/007/SRR2954277/SRR2954277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/007/SRR2954277/SRR2954277_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/007/SRR2954277	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/007/SRR2954277		
PRJNA303170	SAMN04287696	SRS1174570	SRX1446818	SRR2954278	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/008/SRR2954278/SRR2954278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/008/SRR2954278/SRR2954278_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/008/SRR2954278/SRR2954278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/008/SRR2954278/SRR2954278_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/008/SRR2954278	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/008/SRR2954278		
PRJNA303170	SAMN04287697	SRS1174569	SRX1446819	SRR2954279	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/009/SRR2954279/SRR2954279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/009/SRR2954279/SRR2954279_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/009/SRR2954279/SRR2954279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/009/SRR2954279/SRR2954279_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/009/SRR2954279	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/009/SRR2954279		
PRJNA303170	SAMN04287698	SRS1174568	SRX1446820	SRR2954280	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/000/SRR2954280/SRR2954280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/000/SRR2954280/SRR2954280_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/000/SRR2954280/SRR2954280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/000/SRR2954280/SRR2954280_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/000/SRR2954280	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/000/SRR2954280		
PRJNA303170	SAMN04287699	SRS1174567	SRX1446821	SRR2954281	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/001/SRR2954281/SRR2954281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/001/SRR2954281/SRR2954281_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/001/SRR2954281/SRR2954281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/001/SRR2954281/SRR2954281_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/001/SRR2954281	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/001/SRR2954281		
PRJNA303170	SAMN04287700	SRS1174566	SRX1446822	SRR2954282	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/002/SRR2954282/SRR2954282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/002/SRR2954282/SRR2954282_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/002/SRR2954282/SRR2954282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/002/SRR2954282/SRR2954282_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/002/SRR2954282	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/002/SRR2954282		
PRJNA303170	SAMN04287701	SRS1174565	SRX1446823	SRR2954283	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/003/SRR2954283/SRR2954283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/003/SRR2954283/SRR2954283_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/003/SRR2954283/SRR2954283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/003/SRR2954283/SRR2954283_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/003/SRR2954283	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/003/SRR2954283		
PRJNA303170	SAMN04287702	SRS1174564	SRX1446824	SRR2954284	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/004/SRR2954284/SRR2954284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/004/SRR2954284/SRR2954284_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/004/SRR2954284/SRR2954284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/004/SRR2954284/SRR2954284_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/004/SRR2954284	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/004/SRR2954284		
PRJNA303170	SAMN04287703	SRS1174563	SRX1446825	SRR2954285	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/005/SRR2954285/SRR2954285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/005/SRR2954285/SRR2954285_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/005/SRR2954285/SRR2954285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/005/SRR2954285/SRR2954285_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/005/SRR2954285	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/005/SRR2954285		
PRJNA303170	SAMN04287704	SRS1174562	SRX1446826	SRR2954286	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/006/SRR2954286/SRR2954286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/006/SRR2954286/SRR2954286_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/006/SRR2954286/SRR2954286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/006/SRR2954286/SRR2954286_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/006/SRR2954286	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/006/SRR2954286		
PRJNA303170	SAMN04287705	SRS1174561	SRX1446827	SRR2954287	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/007/SRR2954287/SRR2954287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/007/SRR2954287/SRR2954287_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/007/SRR2954287/SRR2954287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/007/SRR2954287/SRR2954287_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/007/SRR2954287	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/007/SRR2954287		
PRJNA303170	SAMN04287706	SRS1174560	SRX1446828	SRR2954288	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/008/SRR2954288/SRR2954288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/008/SRR2954288/SRR2954288_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/008/SRR2954288/SRR2954288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/008/SRR2954288/SRR2954288_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/008/SRR2954288	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/008/SRR2954288		
PRJNA303170	SAMN04287707	SRS1174559	SRX1446829	SRR2954289	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/009/SRR2954289/SRR2954289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/009/SRR2954289/SRR2954289_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/009/SRR2954289/SRR2954289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/009/SRR2954289/SRR2954289_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/009/SRR2954289	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/009/SRR2954289		
PRJNA303170	SAMN04287708	SRS1174558	SRX1446830	SRR2954290	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/000/SRR2954290/SRR2954290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/000/SRR2954290/SRR2954290_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/000/SRR2954290/SRR2954290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/000/SRR2954290/SRR2954290_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/000/SRR2954290	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/000/SRR2954290		
PRJNA303170	SAMN04287709	SRS1174557	SRX1446831	SRR2954291	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/001/SRR2954291/SRR2954291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/001/SRR2954291/SRR2954291_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/001/SRR2954291/SRR2954291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/001/SRR2954291/SRR2954291_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/001/SRR2954291	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/001/SRR2954291		
PRJNA303170	SAMN04287710	SRS1174556	SRX1446832	SRR2954292	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/002/SRR2954292/SRR2954292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/002/SRR2954292/SRR2954292_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/002/SRR2954292/SRR2954292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/002/SRR2954292/SRR2954292_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR295/002/SRR2954292	ftp.sra.ebi.ac.uk/vol1/srr/SRR295/002/SRR2954292		
